#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.53503  0.48984 -0.04230 -1.01708  0.000435  0.000184  0.000825
   1.54772  0.50251 -0.04173 -1.01962  0.000446  0.000187  0.000790
   1.56033  0.51511 -0.04102 -1.02013  0.000465  0.000191  0.000727
   1.57293  0.52767 -0.04017 -1.01899  0.000488  0.000196  0.000650
   1.58554  0.54024 -0.03918 -1.01559  0.000523  0.000203  0.000548
   1.59822  0.55288 -0.03803 -1.01018  0.000572  0.000211  0.000427
   1.61107  0.56566 -0.03673 -1.00310  0.000641  0.000221  0.000290
   1.62412  0.57863 -0.03532 -0.99618  0.000724  0.000230  0.000172
   1.63730  0.59173 -0.03381 -0.99007  0.000820  0.000239  0.000076
   1.65061  0.60493 -0.03220 -0.98499  0.000939  0.000246  0.000002
   1.66407  0.61829 -0.03050 -0.98096  0.001073  0.000252 -0.000043
   1.67771  0.63182 -0.02873 -0.97742  0.001180  0.000257 -0.000057
   1.69151  0.64549 -0.02691 -0.97403  0.001192  0.000263 -0.000054
   1.70539  0.65925 -0.02507 -0.94922  0.000951  0.000306  0.000151
   1.71933  0.67306 -0.02321 -0.92412  0.000665  0.000350  0.001457
   1.73324  0.68685 -0.02137 -0.91848  0.000586  0.000374  0.002470
   1.74710  0.70060 -0.01955 -0.91376  0.000586  0.000404  0.002901
   1.76091  0.71428 -0.01777 -0.90886  0.000615  0.000436  0.003011
   1.77464  0.72791 -0.01603 -0.90328  0.000658  0.000470  0.002978
   1.78831  0.74147 -0.01433 -0.89780  0.000705  0.000505  0.002900
   1.80192  0.75498 -0.01269 -0.89230  0.000755  0.000540  0.002807
   1.81545  0.76842 -0.01111 -0.88712  0.000805  0.000575  0.002716
   1.82893  0.78181 -0.00959 -0.88205  0.000856  0.000610  0.002630
   1.84234  0.79514 -0.00814 -0.87705  0.000906  0.000644  0.002549
   1.85568  0.80841 -0.00677 -0.87255  0.000955  0.000678  0.002481
   1.86895  0.82162 -0.00547 -0.86803  0.001004  0.000711  0.002416
   1.88216  0.83477 -0.00426 -0.86382  0.001052  0.000745  0.002360
   1.89529  0.84785 -0.00314 -0.85996  0.001098  0.000777  0.002311
   1.90833  0.86086 -0.00212 -0.85638  0.001143  0.000808  0.002269
   1.92127  0.87377 -0.00120 -0.85293  0.001188  0.000840  0.002229
   1.93410  0.88657 -0.00039 -0.85009  0.001228  0.000869  0.002199
   1.94679  0.89924  0.00031 -0.84742  0.001268  0.000898  0.002172
   1.95930  0.91174  0.00088 -0.84536  0.001303  0.000924  0.002153
   1.97158  0.92401  0.00132 -0.84368  0.001336  0.000949  0.002139
   1.98354  0.93597  0.00162 -0.84269  0.001364  0.000971  0.002132
   1.99510  0.94753  0.00178 -0.84250  0.001386  0.000989  0.002135
   2.00613  0.95855  0.00180 -0.84374  0.001396  0.001001  0.002155
   2.01650  0.96892  0.00168 -0.84553  0.001402  0.001009  0.002180
   2.02609  0.97851  0.00142 -0.84863  0.001398  0.001011  0.002220
   2.03484  0.98725  0.00104 -0.85226  0.001390  0.001010  0.002264
   2.04276  0.99515  0.00050 -0.85761  0.001369  0.001001  0.002329
   2.04763  1.00000  0.00000 -0.86691  0.001317  0.000974  0.002449
   2.04763  1.00010 -0.00001  0.86691  0.010541  0.005564  0.000000
   2.05250  1.00492 -0.00071  0.87917  0.009436  0.005271  0.000000
   2.05804  1.01042 -0.00139  0.88595  0.008868  0.005121  0.000000
   2.06436  1.01669 -0.00211  0.89236  0.008373  0.004986  0.000000
   2.07155  1.02385 -0.00285  0.89855  0.007931  0.004862  0.000000
   2.07975  1.03200 -0.00363  0.90462  0.007526  0.004745  0.000000
   2.08908  1.04130 -0.00445  0.91062  0.007151  0.004635  0.000000
   2.09972  1.05190 -0.00532  0.91651  0.006803  0.004530  0.000000
   2.11183  1.06398 -0.00622  0.92229  0.006480  0.004432  0.000000
   2.12563  1.07775 -0.00717  0.92793  0.006180  0.004340  0.000000
