#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   1.63059  0.58330 -0.02374 -0.98407  0.000647  0.000452  0.003535
   1.64470  0.59733 -0.02222 -0.97817  0.000689  0.000487  0.003530
   1.65879  0.61133 -0.02070 -0.97215  0.000737  0.000524  0.003452
   1.67283  0.62530 -0.01921 -0.96613  0.000789  0.000561  0.003349
   1.68683  0.63922 -0.01774 -0.96030  0.000842  0.000597  0.003243
   1.70079  0.65311 -0.01630 -0.95455  0.000896  0.000634  0.003140
   1.71471  0.66695 -0.01489 -0.94900  0.000950  0.000671  0.003045
   1.72859  0.68076 -0.01351 -0.94357  0.001003  0.000708  0.002956
   1.74243  0.69454 -0.01218 -0.93832  0.001057  0.000745  0.002876
   1.75623  0.70828 -0.01088 -0.93322  0.001110  0.000781  0.002802
   1.77000  0.72199 -0.00963 -0.92837  0.001163  0.000817  0.002737
   1.78372  0.73566 -0.00842 -0.92360  0.001215  0.000854  0.002675
   1.79741  0.74930 -0.00727 -0.91901  0.001267  0.000890  0.002619
   1.81107  0.76291 -0.00616 -0.91464  0.001319  0.000926  0.002568
   1.82468  0.77649 -0.00511 -0.91033  0.001370  0.000962  0.002520
   1.83826  0.79002 -0.00412 -0.90621  0.001421  0.000998  0.002476
   1.85179  0.80353 -0.00320 -0.90224  0.001471  0.001033  0.002435
   1.86528  0.81699 -0.00233 -0.89843  0.001521  0.001069  0.002397
   1.87872  0.83041 -0.00154 -0.89484  0.001570  0.001103  0.002363
   1.89211  0.84377 -0.00082 -0.89131  0.001619  0.001138  0.002330
   1.90543  0.85708 -0.00017 -0.88801  0.001666  0.001172  0.002300
   1.91869  0.87032  0.00040 -0.88481  0.001713  0.001206  0.002272
   1.93185  0.88348  0.00088 -0.88188  0.001759  0.001239  0.002247
   1.94490  0.89652  0.00127 -0.87910  0.001803  0.001272  0.002225
   1.95779  0.90941  0.00157 -0.87661  0.001845  0.001303  0.002205
   1.97048  0.92209  0.00177 -0.87425  0.001886  0.001333  0.002187
   1.98287  0.93449  0.00186 -0.87245  0.001922  0.001360  0.002176
   1.99486  0.94648  0.00185 -0.87100  0.001953  0.001385  0.002168
   2.00629  0.95791  0.00174 -0.87026  0.001978  0.001406  0.002169
   2.01700  0.96862  0.00155 -0.86910  0.002006  0.001427  0.002162
   2.02683  0.97844  0.00127 -0.86677  0.002045  0.001454  0.002139
   2.03568  0.98728  0.00091 -0.86357  0.002092  0.001486  0.002104
   2.04360  0.99519  0.00044 -0.85965  0.002147  0.001520  0.002059
   2.04843  1.00000  0.00000 -0.86296  0.002117  0.001507  0.002107
   2.04843  1.00010 -0.00001  0.86296  0.006356  0.003981  0.000000
   2.05325  1.00488 -0.00064  0.88289  0.005588  0.003670  0.000000
   2.05874  1.01033 -0.00129  0.89333  0.005224  0.003522  0.000000
   2.06500  1.01655 -0.00198  0.90218  0.004935  0.003404  0.000000
   2.07213  1.02364 -0.00273  0.90991  0.004695  0.003305  0.000000
   2.08026  1.03173 -0.00353  0.91687  0.004486  0.003221  0.000000
   2.08953  1.04096 -0.00440  0.92325  0.004300  0.003146  0.000000
   2.10009  1.05148 -0.00535  0.92917  0.004131  0.003079  0.000000
   2.11213  1.06347 -0.00637  0.93471  0.003977  0.003019  0.000000
   2.12585  1.07715 -0.00749  0.93992  0.003834  0.002964  0.000000
   2.14149  1.09274 -0.00869  0.94486  0.003701  0.002914  0.000000
   2.15932  1.11052 -0.01000  0.94954  0.003576  0.002867  0.000000
   2.17963  1.13079 -0.01142  0.95399  0.003460  0.002824  0.000000
   2.20279  1.15389 -0.01296  0.95821  0.003353  0.002784  0.000000
   2.22918  1.18023 -0.01463  0.96221  0.003253  0.002747  0.000000
   2.25926  1.21026 -0.01643  0.96599  0.003160  0.002713  0.000000
   2.29355  1.24449 -0.01837  0.96955  0.003076  0.002682  0.000000
   2.33263  1.28352 -0.02046  0.97288  0.002999  0.002653  0.000000
   2.37717  1.32800 -0.02271  0.97599  0.002930  0.002627  0.000000
   2.42794  1.37871 -0.02513  0.97887  0.002869  0.002603  0.000000
   2.48580  1.43652 -0.02773  0.98152  0.002814  0.002581  0.000000
   2.55176  1.50241 -0.03051  0.98394  0.002766  0.002562  0.000000
   2.62693  1.57752 -0.03348  0.98613  0.002725  0.002544  0.000000
   2.71260  1.66314 -0.03665  0.98810  0.002689  0.002529  0.000000
   2.81026  1.76073 -0.04004  0.98985  0.002657  0.002515  0.000000
   2.92156  1.87198 -0.04364  0.99139  0.002631  0.002503  0.000000
   3.04842  1.99878 -0.04748  0.99282  0.002607  0.002492  0.000000
